# .test .cputime .temperature .time_mat1 .time_mat2
398 0.344936  6.331 0.004917 0.007256
399 0.345485  7.792 0.004975 0.007293
400 0.347065  7.305 0.004967 0.007332
401 0.347318  7.305 0.005031 0.007373
402 0.348884  5.844 0.005014 0.007414
403 0.348608  6.331 0.005070 0.007445
404 0.350282  6.331 0.005068 0.007495
405 0.350934  6.818 0.005100 0.007502
406 0.352124  5.844 0.005109 0.007540
407 0.351167  7.792 0.005146 0.007585
408 0.353678  6.818 0.005136 0.007617
409 0.353674  7.305 0.005227 0.007774
410 0.356516  6.331 0.005162 0.007692
411 0.355904  6.818 0.005243 0.007733
412 0.358279  7.305 0.005265 0.007752
413 0.357400  6.331 0.005286 0.007835
414 0.358505  7.305 0.005281 0.007887
415 0.359268  7.792 0.005323 0.007910
416 0.361549  7.305 0.005325 0.007921
417 0.361761  7.792 0.005429 0.008018
418 0.362007  6.331 0.005431 0.008034
419 0.364090  8.279 0.005427 0.008054
420 0.363120  7.305 0.005462 0.008076
421 0.365703  7.305 0.005493 0.008122
422 0.364643  6.818 0.005492 0.008181
423 0.367049  6.818 0.005520 0.008207
424 0.366494  6.818 0.005547 0.008232
425 0.369201  6.331 0.005569 0.008296
426 0.369238  8.279 0.005571 0.008334
427 0.370721  7.792 0.005592 0.008380
428 0.370270  7.305 0.005618 0.008398
429 0.370876  7.792 0.005677 0.008507
430 0.373159  6.818 0.005660 0.008538
431 0.373634  8.279 0.005718 0.008574
432 0.374213  8.279 0.005742 0.008615
433 0.375156  7.792 0.005707 0.008587
434 0.375825  7.792 0.005776 0.008602
435 0.377591  7.792 0.005797 0.008743
436 0.379160  7.792 0.005771 0.008790
437 0.379816  7.305 0.005786 0.008820
438 0.380357  6.818 0.005856 0.008832
439 0.381831  6.818 0.005830 0.008848
440 0.382916  7.305 0.005923 0.008882
441 0.383410  7.305 0.005883 0.008951
442 0.383179  7.305 0.005941 0.008993
443 0.385347  7.792 0.005959 0.009064
444 0.386811  7.305 0.005978 0.009128
445 0.387261  7.792 0.005970 0.009111
446 0.387686  8.279 0.006074 0.009187
447 0.389854  7.305 0.006022 0.009197
448 0.390018  7.305 0.006141 0.009297
449 0.390632  7.305 0.006076 0.009288
450 0.390223  7.792 0.006212 0.009347
451 0.391828  6.818 0.006158 0.009402
452 0.392429  7.305 0.006228 0.009449
453 0.393905  8.766 0.006184 0.009482
454 0.394190  8.279 0.006276 0.009488
455 0.395081  7.792 0.006243 0.009622
456 0.396007  7.305 0.006308 0.009622
